year,country,region,income,population,lifeExpectancy
2009,Angola,Sub-Saharan Africa,5055.59,,47.58
2009,Benin,Sub-Saharan Africa,1457.57,,61.89
2009,Botswana,Sub-Saharan Africa,12282.28,,55.12
2009,Burkina Faso,Sub-Saharan Africa,1234.42,,53.38
2009,Burundi,Sub-Saharan Africa,457.07,,50.95
2009,Cameroon,Sub-Saharan Africa,1997.18,,51.39
2009,Cape Verde,Sub-Saharan Africa,3456.14,,71.68
2009,Chad,Sub-Saharan Africa,1557.83,,48.97
2009,Comoros,Sub-Saharan Africa,1016.42,,65.77
2009,"Congo, Dem. Rep.",Sub-Saharan Africa,358.8,,47.81
2009,"Congo, Rep.",Sub-Saharan Africa,3834.67,,53.75
2009,Cote d'Ivoire,Sub-Saharan Africa,1520.23,,57.86
2009,Equatorial Guinea,Sub-Saharan Africa,15342.2,,50.64
2009,Eritrea,Sub-Saharan Africa,548.37,,60.03
2009,Ethiopia,Sub-Saharan Africa,812.16,,55.69
2009,Gabon,Sub-Saharan Africa,12704.99,,60.89
2009,Ghana,Sub-Saharan Africa,1382.95,,56.83
2009,Guinea,Sub-Saharan Africa,908.86,,58.35
2009,Guinea-Bissau,Sub-Saharan Africa,568.94,,48.2
2009,Kenya,Sub-Saharan Africa,1493.53,,54.95
2009,Lesotho,Sub-Saharan Africa,1521.4,,45.56
2009,Liberia,Sub-Saharan Africa,474.9,,58.71
2009,Madagascar,Sub-Saharan Africa,1006.9,,60.81
2009,Malawi,Sub-Saharan Africa,866.35,,53.88
2009,Mali,Sub-Saharan Africa,1136.17,,48.84
2009,Mauritania,Sub-Saharan Africa,1775.87,,56.99
2009,Mauritius,Sub-Saharan Africa,11411.53,,72.1
2009,Mayotte,Sub-Saharan Africa,,,75.99
2009,Mozambique,Sub-Saharan Africa,888.65,,48.13
2009,Namibia,Sub-Saharan Africa,4952.26,,61.72
2009,Niger,Sub-Saharan Africa,643.39,,51.95
2009,Nigeria,Sub-Saharan Africa,2158.98,,48.17
2009,Reunion,Sub-Saharan Africa,,,76.64
2009,Rwanda,Sub-Saharan Africa,995.27,,50.69
2009,Sao Tome and Principe,Sub-Saharan Africa,1703.43,,65.86
2009,Senegal,Sub-Saharan Africa,1700.05,,55.91
2009,Sierra Leone,Sub-Saharan Africa,893.6,,47.95
2009,Somalia,Sub-Saharan Africa,,,50.09
2009,South Africa,Sub-Saharan Africa,9141.27,,51.72
2009,Sudan,Sub-Saharan Africa,2778.61,,58.5
2009,Swaziland,Sub-Saharan Africa,4728.18,,46.36
2009,Tanzania,Sub-Saharan Africa,1220.25,,56.35
2009,Togo,Sub-Saharan Africa,888.01,,62.93
2009,Uganda,Sub-Saharan Africa,1202.53,,53.47
2009,Zambia,Sub-Saharan Africa,1442.06,,46.4
2009,Zimbabwe,Sub-Saharan Africa,443.74,,45.72
2009,Afghanistan,South Asia,1216.68,,44.3
2009,Bangladesh,South Asia,1492,,66.56
2009,Bhutan,South Asia,5053.83,,66.42
2009,India,South Asia,2731,,64.01
2009,Maldives,South Asia,5081.79,,71.94
2009,Nepal,South Asia,1224.73,,67.12
2009,Pakistan,South Asia,2603,,66.84
2009,Sri Lanka,South Asia,4254.13,,74.24
2009,Algeria,Middle East & North Africa,6207.17,,72.67
2009,Bahrain,Middle East & North Africa,24226.51,,75.88
2009,Djibouti,Middle East & North Africa,2176.79,,55.78
2009,Iraq,Middle East & North Africa,3518.18,,68.1
2009,Israel,Middle East & North Africa,25463.69,,81
2009,Jordan,Middle East & North Africa,5109.39,,72.88
2009,Kuwait,Middle East & North Africa,42443.53,,77.79
2009,Lebanon,Middle East & North Africa,12766.21,,72.26
2009,Libya,Middle East & North Africa,12051.62,,74.28
2009,Morocco,Middle East & North Africa,4162.93,,71.58
2009,Oman,Middle East & North Africa,22804.85,,75.94
2009,Qatar,Middle East & North Africa,74138.28,,75.81
2009,Saudi Arabia,Middle East & North Africa,21138.18,,73.1
2009,Tunisia,Middle East & North Africa,7499.61,,74.15
2009,United Arab Emirates,Middle East & North Africa,33734.94,,77.58
2009,West Bank and Gaza,Middle East & North Africa,,,73.74
2009,"Yemen, Rep.",Middle East & North Africa,2313.16,,63.39
